address,name,chainId
0xC42705A210f082ff29E6bEAc80F56C41F0A54091,oneski22 Signer,1
0xC42705A210f082ff29E6bEAc80F56C41F0A54091,oneski22 Signer,137
0x52EAF3F04cbac0a4B9878A75AB2523722325D4D4,ELEV8 Signer,1
0x52EAF3F04cbac0a4B9878A75AB2523722325D4D4,ELEV8 Signer,137
0xB7B439D59186A4aAAeA725b365c239a4355c0946,miza 6 Signer,1
0xb647055A9915bF9c8021a684E175A353525b9890,Matthew_Graham Signer,1
0xECbe3854B26750B301341BAD149185E55544aBA1,Mringz Signer,1
0xaD5c6197e84E865F66448E443C05A9Cc939B67fD,bax86 Signer,1
0x91409a508C52c4F01D0449410a4f9D7A72d0b102,pujimak_in Signer,1
0x026FD30023D9199450883B3c7f82b7C9ebbEB2F7,BigSky Signer,1
